 ==================== ALOHA result file ====================
 \t\t S \t\t RZheg \t\t K_cpl 
 ( 2.11114227941384697E-003,-1.69863421079593201E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.30272456662974040E-005, 4.06540395987822496E-004)
 ( 4.58516493146242062E-004, 2.83862897646210218E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.52633843158845677E-005,-1.15428039227914471E-006)
 (-5.09146462505577838E-003,-2.81737656103277180E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.55055707945597407E-003,-1.05351660681256266E-003)
 ( 9.00613264428563876E-004,-6.69770541022522551E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.30373832036914489E-004, 3.02928422229397818E-004)
 ( 8.61792978910015824E-005,-1.87889710240536173E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.46413868946037026E-005, 2.18907905533685792E-005)
 (-3.84225860115780873E-003, 1.57705489483885085E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.47302071175228000E-004,-1.77342026295858606E-003)
 (-4.47810708924459809E-004,-1.05440486220359964E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.52797177671952363E-004, 5.23724982446662681E-005)
 (-1.74421891628352764E-004, 3.81842388301086618E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.98064919298567237E-006, 2.83310836858896901E-005)
 (-2.45513022771938006E-003, 2.96075526452735946E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-9.21437224685846745E-004,-1.45574737113272228E-003)
 (-1.23428593619593035E-003,-8.45036089316716205E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.73735251976033294E-004,-2.02213850164958638E-004)
 (-1.88188283146278689E-004,-4.39778107654757928E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.92606890563786722E-005, 2.35918515257712765E-005)
 ( 2.19030216019863179E-004, 3.02799478141637778E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.57193536690994275E-003,-3.72339990464199766E-004)
 (-9.18620892318558219E-004, 1.80073017993682711E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.18236500967013942E-005,-3.26708585958541281E-004)
 (-2.55851573809607889E-005,-2.32160711663686823E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.79229369245708803E-005, 3.79640111743603256E-006)
 ( 2.89445929901309754E-003, 1.23402876839764529E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.31069642483873979E-003, 8.33277347499296263E-004)
 (-6.99211092099359536E-004, 2.09332437639827570E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.77690915779922152E-004,-2.64143186196695318E-004)
 ( 1.98872592238239708E-004, 8.09067234394743751E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.81003850937512526E-005,-1.71629263676460304E-005)
 ( 2.89334255154997293E-003,-9.99656548454445079E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.45115459221472540E-004, 1.49150732946954517E-003)
